Date,Open,High,Low,Close,Adj Close,Volume
2018-10-30,68.709999,72.570000,68.269997,71.339996,71.339996,2255300
2018-10-31,72.500000,76.660004,72.059998,75.910004,75.910004,2289900
2018-11-01,76.669998,77.430000,74.430000,76.750000,76.750000,1389400
2018-11-02,77.070000,78.565002,75.199997,76.480003,76.480003,1130200
2018-11-05,76.199997,77.000000,73.320000,74.610001,74.610001,772000
2018-11-06,74.150002,75.639999,71.550003,72.089996,72.089996,1118000
2018-11-07,73.639999,78.000000,73.095001,77.610001,77.610001,1854100
2018-11-08,76.820000,77.260002,74.724998,75.949997,75.949997,984900
2018-11-09,75.019997,75.457001,71.910004,73.290001,73.290001,684300
2018-11-12,72.070000,72.830002,69.629997,70.800003,70.800003,1284800
2018-11-13,74.269997,74.269997,70.417999,73.010002,73.010002,1323800
2018-11-14,74.019997,74.750000,71.709999,72.400002,72.400002,899700
2018-11-15,72.279999,75.930000,71.989998,75.750000,75.750000,1262800
2018-11-16,75.269997,76.680000,74.529999,75.949997,75.949997,876800
2018-11-19,75.480003,75.750000,68.940002,69.309998,69.309998,2160600
2018-11-20,66.040001,70.570000,65.169998,70.220001,70.220001,1871200
2018-11-21,73.110001,73.209999,70.091003,72.129997,72.129997,827700
2018-11-23,70.220001,73.419998,70.000999,73.199997,73.199997,363900
2018-11-26,73.690002,76.260002,72.769997,76.169998,76.169998,884600
2018-11-27,75.290001,76.629997,74.309998,74.660004,74.660004,810400
2018-11-28,75.470001,81.500000,75.470001,80.699997,80.699997,1596100
2018-11-29,80.000000,85.830002,79.889999,83.900002,83.900002,2191200
2018-11-30,84.279999,87.000000,84.059998,85.940002,85.940002,1394100
2018-12-03,89.000000,89.809998,87.070000,89.599998,89.599998,1840500
2018-12-04,88.699997,89.820000,85.010002,85.720001,85.720001,1745400
2018-12-06,82.300003,85.760002,81.000000,85.139999,85.139999,1908000
2018-12-07,83.820000,84.830002,78.924004,80.459999,80.459999,1817200
2018-12-10,80.199997,84.279999,79.000000,83.059998,83.059998,1170800
2018-12-11,85.209999,85.599998,82.160004,82.980003,82.980003,634300
2018-12-12,84.830002,86.750000,83.800003,84.050003,84.050003,1149800
2018-12-13,85.000000,85.680000,82.809998,84.250000,84.250000,714300
2018-12-14,82.870003,84.919998,82.010002,83.190002,83.190002,831700
2018-12-17,82.750000,82.750000,79.290001,79.849998,79.849998,1161900
2018-12-18,81.199997,81.349998,78.730003,79.120003,79.120003,1454000
2018-12-19,79.680000,83.739998,79.355003,81.059998,81.059998,1688200
2018-12-20,80.239998,83.849998,75.550003,82.250000,82.250000,2980300
2018-12-21,82.970001,83.000000,79.459999,81.129997,81.129997,3059400
2018-12-24,79.790001,81.849998,77.339996,78.660004,78.660004,630100
2018-12-26,79.360001,85.500000,79.330002,85.320000,85.320000,1510000
2018-12-27,83.519997,87.570000,82.660004,87.570000,87.570000,966700
2018-12-28,88.209999,88.980003,85.220001,87.599998,87.599998,1410700
2018-12-31,89.230003,90.879997,88.199997,88.980003,88.980003,2146700
2019-01-02,85.820000,90.139999,84.180000,89.029999,89.029999,1570400
2019-01-03,87.029999,88.360001,84.290001,84.480003,84.480003,1201500
2019-01-04,86.650002,88.820000,85.482002,87.089996,87.089996,1836200
2019-01-07,89.050003,95.800003,87.699997,92.709999,92.709999,3738800
2019-01-08,94.980003,96.000000,91.660004,94.820000,94.820000,2275300
2019-01-09,95.269997,96.970001,94.625000,95.809998,95.809998,1454800
2019-01-10,95.059998,95.989998,93.750000,95.500000,95.500000,1174800
2019-01-11,95.309998,96.470001,93.669998,95.650002,95.650002,934900
2019-01-14,94.180000,94.718002,92.850998,93.709999,93.709999,2252100
2019-01-15,91.349998,95.410004,90.400002,95.379997,95.379997,1792200
2019-01-16,95.629997,96.690002,93.400002,94.320000,94.320000,1662900
2019-01-17,94.330002,94.750000,91.656998,92.919998,92.919998,3504300
2019-01-18,100.000000,100.000000,88.550003,90.669998,90.669998,7666900
2019-01-22,88.769997,92.470001,87.180000,91.440002,91.440002,2696100
2019-01-23,92.000000,94.400002,90.849998,93.650002,93.650002,2447100
2019-01-24,93.820000,94.900002,92.110001,93.320000,93.320000,1211200
2019-01-25,94.500000,95.989998,93.713997,95.860001,95.860001,1154700
2019-01-28,94.419998,95.120003,92.529999,94.720001,94.720001,954700
2019-01-29,94.389999,94.800003,92.420998,93.220001,93.220001,948500
2019-01-30,94.070000,95.843002,94.070000,95.010002,95.010002,1141300
2019-01-31,95.000000,100.000000,94.709999,98.400002,98.400002,2263300
2019-02-01,98.209999,101.760002,97.860001,98.980003,98.980003,2084700
2019-02-04,99.080002,102.849998,99.070000,102.180000,102.180000,1979900
2019-02-05,102.470001,103.775002,101.625000,102.769997,102.769997,1809000
2019-02-06,102.730003,104.309998,101.260002,103.540001,103.540001,1500700
2019-02-07,102.220001,103.716003,101.160004,102.349998,102.349998,1180900
2019-02-08,101.320000,104.952003,101.199997,104.339996,104.339996,1129400
2019-02-11,104.940002,106.400002,104.110001,104.570000,104.570000,1385600
2019-02-12,104.849998,106.589996,104.300003,106.120003,106.120003,1457300
2019-02-13,106.480003,107.199997,103.309998,105.250000,105.250000,1131600
2019-02-14,104.739998,105.779999,104.110001,104.809998,104.809998,1194100
2019-02-15,106.150002,106.150002,104.120003,104.900002,104.900002,899100
2019-02-19,104.379997,104.629997,103.320000,103.910004,103.910004,1845000
2019-02-20,104.000000,105.669998,102.580002,104.120003,104.120003,1162400
2019-02-21,103.300003,103.879997,101.589996,103.040001,103.040001,949600
2019-02-22,102.970001,105.440002,102.739998,105.250000,105.250000,967900
2019-02-25,105.970001,107.949997,105.750000,106.750000,106.750000,1390300
2019-02-26,106.019997,107.010002,105.449997,105.879997,105.879997,1185300
2019-02-27,105.300003,106.650002,104.791000,106.330002,106.330002,996800
2019-02-28,105.629997,107.959999,105.380997,107.480003,107.480003,1749900
2019-03-01,108.220001,111.760002,107.559998,110.949997,110.949997,1989400
2019-03-04,111.580002,111.580002,99.769997,104.709999,104.709999,3863200
2019-03-05,105.330002,105.330002,101.290001,104.430000,104.430000,1309800
2019-03-06,104.250000,105.000000,102.300003,103.500000,103.500000,855600
2019-03-07,102.970001,106.344002,102.559998,104.209999,104.209999,1306000
2019-03-08,102.059998,105.059998,100.510002,104.250000,104.250000,1095000
2019-03-11,104.760002,110.099998,104.760002,109.510002,109.510002,1533000
2019-03-12,110.059998,112.449997,109.050003,110.940002,110.940002,1747800
2019-03-13,111.220001,112.580002,108.250000,108.580002,108.580002,3581400
2019-03-14,109.459999,112.489998,109.300003,110.480003,110.480003,1711200
2019-03-15,110.830002,112.230003,109.642998,110.269997,110.269997,2235500
2019-03-18,110.120003,111.730003,109.660004,111.220001,111.220001,729300
2019-03-19,112.209999,113.400002,110.309998,112.419998,112.419998,1148300
2019-03-20,112.639999,113.900002,111.278000,112.830002,112.830002,823100
2019-03-21,112.339996,115.879997,112.099998,115.500000,115.500000,1098100
2019-03-22,114.690002,115.054001,109.730003,109.830002,109.830002,1433200
2019-03-25,109.330002,110.389999,107.900002,109.860001,109.860001,890700
2019-03-26,111.629997,112.949997,110.500000,111.550003,111.550003,727800
2019-03-27,111.400002,112.000000,105.199997,106.989998,106.989998,2086800
2019-03-28,107.080002,109.870003,106.599998,108.459999,108.459999,1107400
2019-03-29,110.199997,112.510002,108.680000,112.389999,112.389999,1239000
2019-04-01,114.029999,115.375000,111.370003,113.870003,113.870003,1255300
2019-04-02,114.440002,116.089996,112.220001,115.599998,115.599998,980100
2019-04-03,116.300003,116.699997,114.669998,115.360001,115.360001,1102400
2019-04-04,115.599998,115.599998,106.750000,110.220001,110.220001,2366000
2019-04-05,111.529999,112.540001,110.190002,111.330002,111.330002,1239500
2019-04-08,111.279999,112.139999,108.293999,112.080002,112.080002,1009500
2019-04-09,111.000000,112.690002,110.199997,112.150002,112.150002,1194300
2019-04-10,112.150002,113.699997,111.830002,112.739998,112.739998,1714200
2019-04-11,113.639999,114.690002,111.570000,114.440002,114.440002,1224200
2019-04-12,115.279999,115.669998,112.279999,112.680000,112.680000,1543200
2019-04-15,114.010002,117.059998,113.559998,114.449997,114.449997,2094000
2019-04-16,115.089996,115.610001,112.220001,112.970001,112.970001,2014300
